telefon adı,işletim sistemi,fiyat,bağlantı linki
LENOVO AIO340 INTEL CELERON J4025 2GHZ 4GB 128GB SSD INTEL UHD 600 WIN10 21.5'',Windows,3.981,https://www.vatanbilgisayar.com//lenovo-aio340-intel-celeron-j4025-2ghz-4gb-128gb-ssd-intel-uhd-600-win10-21-5.html
XCELLERATOR XC598 CORE İ5 9400F 2.9GHZ 8GB 480GB SSD 4GB AMD RX 570 WIN10,Windows,5.799,https://www.vatanbilgisayar.com//xcellerator-xc598.html
EXPER DIAMOND DEX599W CORE İ5 9400F 2.9GHZ 8GB 240GB SSD 2GB NVIDIA GT710 WIN10,Windows,4.399,https://www.vatanbilgisayar.com//exper-diamond-dex599w-core-i5-9400f-2-9ghz-8gb-240gb-ssd-2gb-nvidia-gt710-win10.html
LENOVO AIO 3 CORE İ7 10700T 2GHZ 16GB 512GB SSD 2GB AMD RADEON 625 WIN10 23.8'',Windows,11.231,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i7-10700t-2ghz-16gb-512gb-ssd-2gb-amd-radeon-625-win10-23-8.html
HP 1G9R3EA CORE İ7 10700F 2.9GHZ 16GB 2TB+512GB SSD 6GB GTX1660 SUPER WIN10,Windows,10.999,https://www.vatanbilgisayar.com//hp-284m4ea-core-i7-10700f-2-9ghz-16gb-2tb-512gb-ssd-6gb-gtx1660-super-win10.html
HP 308S9EA INTEL CORE İ5 10400T 2 GHZ 8 GB 512 GB SSD INTEL UHD 630 WIN10 23.8'',Windows,6.999,https://www.vatanbilgisayar.com//hp-308s9ea-intel-core-i5-10400t-2-ghz-8-gb-512-gb-ssd-intel-uhd-630-win10-23-8.html
LENOVO IDEACENTRE G5 CORE İ7 10700F 2.9GHZ 32GB 512GB SSD 6GB RTX2060 WIN10,Windows,14.294,https://www.vatanbilgisayar.com//lenovo-ideacentre-g5-core-i7-10700f-2-9ghz-32gb-512gb-ssd-6gb-rtx2060-win10.html
LENOVO IDEACENTRE G5 COREİ5 10400F 2.9GHZ 16GB 512GB SSD 6GB GTX1660 SUPER WIN10,Windows,9.189,https://www.vatanbilgisayar.com//lenovo-g5-intel-core-i5-10400f-2-9ghz-16gb-512gb-ssd-6gb-nvidia-gtx1660-supwin10.html
LENOVO AIO 3 CORE İ3 10100T 3 GHZ 4 GB 128 GB SSD INTEL UHD 630 WIN10 21.5'',Windows,5.411,https://www.vatanbilgisayar.com//lenovo-aio-core-i3-10100t-3ghz-4gb-128gb-ssd-2gb-intel-630-win10-21-5.html
HP 308V3EA INTEL CORE İ5 10400T 2 GHZ 16 GB 1 TB SSD INTEL UHD 630 WIN10 27'',Windows,8.599,https://www.vatanbilgisayar.com//hp-308v3ea-intel-core-i5-10400t-2-ghz-16-gb-1-tb-ssd-intel-uhd-630-win10-27.html
LENOVO AIO 3 CORE İ5 10400T 2 GHZ 8 GB 1TB+512GB 2GB AMD RADEON 625 WIN10 23.8'',Windows,8.474,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i5-10400t-2-ghz-8-gb-1tb-512gb-2gb-amd-radeon-530-win10-23-8.html
LENOVO AIO 3 CORE İ5 10400T 2GHZ 16GB 1TB+256GB 2GB AMD RADEON 625 WIN10 27'',Windows,9.291,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i7-10700t-2ghz-16gb-512gb-ssd-2gb-amd-radeon-625-win10-27.html
LENOVO AIO 3 CORE İ5 10400T 2 GHZ 4 GB 256 GB SSD INTEL UHD 630 WIN10 21.5'',Windows,6.942,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i5-10400t-2-ghz-4-gb-256-gb-ssd-intel-uhd-630-win10-21-5.html
LENOVO IDEACENTRE 3 CORE İ5 10400 2.9GHZ 4GB 256GB SSD 2GB NVIDIA GT730 WIN10,Windows,5.104,https://www.vatanbilgisayar.com//lenovo-ideacentre-3-core-i5-10400-2-9-ghz-4-gb-256gb-ssd-2-gb-nvidia-gt730-win10.html
LENOVO LEGION T5 CORE İ7 10700 2.9GHZ 32GB 512GB SSD 8GB NVIDIA RTX3070 WIN10,Windows,20.42,https://www.vatanbilgisayar.com//lenovo-legion-t5-core-i7-10700-2-9ghz-32gb-512gb-ssd-8gb-nvidia-rtx3070-win10.html
LENOVO AIO 3 CORE İ7 10700T 2GHZ 16GB 512GB SSD 2GB AMD RADEON 625 WIN10 23.8'',Windows,11.231,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i7-10700t-2ghz-16gb-512gb-ssd-2-gb-amd-radeon-625-win10-23-8.html
LENOVO AIO 3 CORE İ3 1005G1 1.2 GHZ 4 GB 128 GB SSD INTEL UHD WIN10 21.5'',Windows,5.411,https://www.vatanbilgisayar.com//lenovo-aio-3-core-i3-10100t-3-ghz-4-gb-128-gb-ssd-intel-uhd-630-win10-21-5.html
APPLE MGNR3TU/A Mac Mini APPLE M1 8C GPU 8 GB 256 GB SSD,Windows,7.899,https://www.vatanbilgisayar.com//apple-mgnr3tu-a-mac-mini-apple-m1-8c-gpu-8-gb-256-gb-ssd.html
ASUS Mini PC PB40 INTEL CELERON J4005 2GHZ 4GB 64GB SSD INTEL UHD 600 WIN10,Windows,2.4,https://www.vatanbilgisayar.com//asus-mini-pc-pb40-intel-celeron-j4005-2ghz-4gb-64gb-ssd-intel-hd-graphics-win10.html
"APPLE MHK03TU/A iMac INTEL CORE İ5 2.3 GHZ 8 GB 256 GB SSD INTEL IRIS PLUS 21.5""",Windows,11.999,https://www.vatanbilgisayar.com//apple-mhk03tu-a-imac-intel-core-i5-2-3-ghz-8-gb-1-tb-intel-iris-plus-21-5.html
XCELLERATOR XC600 İ5 9400F 2.9GHZ 16GB 480GB SSD 4GB NVIDIA GTX1650 SUPER WIN10,Windows,6.799,https://www.vatanbilgisayar.com//xcellerator-xc600-i5-9400f-2-9ghz-16gb-480gb-ssd-4gb-nvidia-gtx1650-super-win10.html
HP 2T7Z1ES INTEL CORE İ3 10100T 3 GHZ 4 GB 256 GB SSD INTEL UHD 630 WIN10 23.8'',Windows,5.299,https://www.vatanbilgisayar.com//hp-2t7z1es-intel-core-i3-10100t-3-ghz-4-gb-256-gb-ssd-intel-uhd-630-win10-23-8.html
ASUS Mini PC PN40 CELERON N4020 1.1GHZ 4GB 64GB SSSD INTEL UHD 600 WIN10PRO,Windows,2.737,https://www.vatanbilgisayar.com//asus-mini-pc-pn40-celeron-n4020-1-1ghz-4gb-64gb-sssd-intel-uhd-600-win10pro.html
APPLE MXNG2TU/A Mac Mini INTEL CORE İ5 3 GHZ 8 GB 512 GB SSD INTEL UHD 630,Windows,12.299,https://www.vatanbilgisayar.com//apple-mxng2tu-a-mac-mini-intel-core-i5-3-ghz-8-gb-512-gb-ssd-intel-uhd-630.html
APPLE MGNT3TU/A Mac Mini APPLE M1 8C GPU 8 GB 512 GB SSD,Windows,10.099,https://www.vatanbilgisayar.com//apple-mgnt3tu-a-mac-mini-intel-core-i3-3-6-ghz-8-gb-256-gb-ssd-intel-uhd-630.html
HP 284M4EA CORE İ5 10400 2.9GHZ 16GB 512GB SSD 4GB NVIDIA GTX1650 SUPER WIN10,Windows,7.599,https://www.vatanbilgisayar.com//hp-284m4ea-intel-core-i5-10400-2-9ghz-16gb-512gb-4gb-nvidia-gtx1650-super-win10.html
LENOVO LEGION T5 CORE İ7 10700 2.9GHZ 16GB 512GB SSD 6GB GTX1660 SUPER WIN10,Windows,13.273,https://www.vatanbilgisayar.com//lenovo-legion-t5-core-i7-10700-2-9ghz-16gb-512gb-ssd-6gb-nvidia-gtx1660-win10.html
LENOVO LEGION T5 CORE İ7 10700 2.9GHZ 32GB 512GB SSD 6GB NVIDIA RTX2060 WIN10,Windows,15.315,https://www.vatanbilgisayar.com//90nc00gqtx.html
"MSI PRO 22XT INTEL CORE İ5 10400 2.9GHZ 8GB 256GB SSD INTEL UHD 630 WIN10 21.5""",Windows,7.999,https://www.vatanbilgisayar.com//msi-pro-22xt-intel-core-i5-10400-2-9ghz-8gb-256gb-ssd-intel-uhd-630-win10-21-5.html
"MSI PRO 22XT INTEL CORE İ3 10100 3.6GHZ 8GB 256GB SSD INTEL UHD 630 WIN10 21.5""",Windows,6.999,https://www.vatanbilgisayar.com//msi-pro-22x-intel-core-i3-10100-2-9-ghz-8-gb-512-gb-ssd-intel-hd-630-win10-21-5.html
MSI MAG INFINITE İ5 10400F 2.9GHZ 8GB 1TB+256GB SSD 6GB GTX1660 SUPER WIN10,Windows,8.999,https://www.vatanbilgisayar.com//mag-infinite-10si-1032eu.html
LENOVO IDEACENTRE 5 CORE İ5 10400 2.9GHZ 16GB 512GB SSD 4GB AMD RX 550X WIN10,Windows,7.146,https://www.vatanbilgisayar.com//lenovo-ideacentre-5-core-i5-10400-2-9ghz-18gb-512gb-ssd-4gb-amd-rx-550x-win10.html
"LENOVO IDEACENTRE 3 CORE İ5 BİLGİSAYAR ve LENOVO 23.8"" MONİTÖR",Windows,5.999,https://www.vatanbilgisayar.com//lenovo-510s-core-i5-bilgisayar-ve-lenovo-23-8-monitor-109884.html
"APPLE MXWV2TU/A iMac Retina INTEL COREİ7 3.8GHZ 8GB 512GB 8GB AMD PRO 5500XT 27""",Windows,25.299,https://www.vatanbilgisayar.com//apple-mxwv2tu-a-imac-retina-intel-corei7-3-8ghz-8gb-512gb-8gb-amd-pro-5500xt-27.html
MSI CUBI 5 10M-016EU COREİ5 10210U 1.6GHZ 8GB 256GB SSD INTEL UHD GRAPHICS WIN10,Windows,5.499,https://www.vatanbilgisayar.com//msi-cubi-5-10m-016eu-i5-10210u-1-6ghz-8gb-256gb-ssd-intel-uhd-graphics-win10.html
MSI CUBI N 8GL-071TR CELERON N4000 1.1GHZ 4GB 64GB SSD INTEL HD GRAPHICS WIN10,Windows,2.599,https://www.vatanbilgisayar.com//msi-cubi-n-8gl-012tr-celeron-n4000-1-1ghz-4gb-32gb-ssd-intel-hd-graphics-win10-109236.html
"APPLE MXWT2TU/A iMac Retina INTEL CORE İ5 3.1GHZ 8GB 256GB 4GB AMD PRO 5300 27""",Windows,19.779,https://www.vatanbilgisayar.com//apple-mxwt2tu-a-imac-retina-intel-core-i5-3-ghz-8-gb-256-gb-4-gb-amd-pro-570x-27.html
